[2019-06-26 17:02:39.017] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:02:39.018] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:02:39.091] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:02:39.091] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 822 ms
[2019-06-26 17:02:39.513] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 17:02:39.740] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 17:02:39.742] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.778 seconds (JVM running for 2.919)
[2019-06-26 17:30:27.883] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 7516 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 17:30:27.884] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 17:30:28.602] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 17:30:28.617] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:30:28.618] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:30:28.690] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:30:28.690] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 782 ms
[2019-06-26 17:30:28.757] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Stopping service [Tomcat]
[2019-06-26 17:30:47.471] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 11204 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 17:30:47.472] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 17:30:48.224] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 17:30:48.240] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:30:48.241] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:30:48.315] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:30:48.316] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 820 ms
[2019-06-26 17:30:48.397] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Stopping service [Tomcat]
[2019-06-26 17:32:08.515] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 2300 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 17:32:08.516] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 17:32:09.273] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 17:32:09.289] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:32:09.290] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:32:09.364] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:32:09.365] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 824 ms
[2019-06-26 17:32:09.838] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 17:32:10.046] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 17:32:10.048] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.818 seconds (JVM running for 2.948)
[2019-06-26 17:32:23.723] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 8804 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 17:32:23.724] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 17:32:24.480] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 17:32:24.497] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:32:24.497] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:32:24.572] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:32:24.572] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 824 ms
[2019-06-26 17:32:24.654] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Stopping service [Tomcat]
[2019-06-26 17:32:29.954] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 4448 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 17:32:29.955] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 17:32:30.715] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 17:32:30.731] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:32:30.732] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:32:30.806] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:32:30.806] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 827 ms
[2019-06-26 17:32:31.284] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 17:32:31.493] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 17:32:31.495] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.819 seconds (JVM running for 2.936)
[2019-06-26 17:32:37.542] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-06-26 17:32:37.543] INFO  org.springframework.web.servlet.FrameworkServlet 524 initServletBean - Initializing Servlet 'dispatcherServlet'
[2019-06-26 17:32:37.547] INFO  org.springframework.web.servlet.FrameworkServlet 546 initServletBean - Completed initialization in 4 ms
[2019-06-26 17:32:38.047] INFO  com.alibaba.druid.pool.DruidDataSource 1003 init - {dataSource-1} inited
[2019-06-26 17:53:28.711] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 1256 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 17:53:28.711] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 17:53:29.440] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 17:53:29.456] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 17:53:29.457] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 17:53:29.530] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 17:53:29.530] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 795 ms
[2019-06-26 17:53:29.984] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 17:53:30.187] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
